Variables;n_componentes;rho;phi_1;sigma2;MAPE;RMSE_rel
Total_arima, ConsumoEuros_arima, NumeroSociedades_arima, Electricidad_arima, Carbón y derivados_arima, Capital_arima, EurosDesembolsado_arima;3;-0,994872495167435;0,998560635928986;8,72979992072948;0,288860193181864;0,245495911962312
Total_arima, ConsumoEuros_arima, NumeroCreadas_arima, PobTotal_arima, ActivoHombres_arima, Capital_arima;3;-0,999000000000000;0,998936356684049;6,05763363653150;0,233698273671609;0,245654817609128
Total_arima, ConsumoEuros_arima, ActivosMujeres_arima, Capital_arima, EurosDesembolsado_arima;3;-0,999000000000000;0,998491892456718;9,07342101401207;0,143315886534919;0,246032937131372
Total_arima, ConsumoEuros_arima, NumeroCreadas_arima, PobTotal_arima, ActivoHombres_arima, Capital_arima, EurosDesembolsado_arima;3;-0,999000000000000;0,999000000000000;5,60769026201595;0,231877281642116;0,246874672964463
Total_arima, ConsumoEuros_arima, ActivosMujeres_arima, ActivoHombres_arima, NumeroSociedades_arima, Carbón y derivados_arima, Capital_arima;3;-0,999000000000000;0,998580076902250;7,13020582489254;0,176266870950905;0,246886053262375
Total_arima, ConsumoEuros_arima, NumeroCreadas_arima, PobTotal_arima, ActivoHombres_arima, Gas_arima, EurosDesembolsado_arima;3;-0,999000000000000;0,999000000000000;5,65697227221029;0,235682981570629;0,247332119071538
Total_arima, ConsumoEuros_arima, NumeroCreadas_arima, PobTotal_arima, ActivoHombres_arima, Electricidad_arima, EurosDesembolsado_arima;3;-0,999000000000000;0,999000000000000;5,66293383002489;0,234741352652545;0,247400974598758
Total_arima, ConsumoEuros_arima, NumeroCreadas_arima, PobTotal_arima, ActivoHombres_arima, Carbón y derivados_arima, EurosDesembolsado_arima;3;-0,999000000000000;0,998821048928133;5,83514953680120;0,235220658095463;0,247948997614644
Total_arima, ConsumoEuros_arima, ActivosMujeres_arima, ActivoHombres_arima, NumeroSociedades_arima, Electricidad_arima, Gas_arima;3;-0,999000000000000;0,999000000000000;6,42024157618586;0,184867189081656;0,248127874496984
Total_arima, ConsumoEuros_arima, NumeroSociedades_arima, Electricidad_arima, Carbón y derivados_arima, Gas_arima, EurosDesembolsado_arima;3;-0,996445816139449;0,998693062261305;9,14160742821438;0,312635519381826;0,248381448326097
