Total Nacional;Comunidades y Ciudades Autónomas;Producto consumido;Período;Total
Total Nacional;10 Comunitat Valenciana;Total consumos energéticos;2011;1279076
Total Nacional;10 Comunitat Valenciana;Total consumos energéticos;2009;1075666
Total Nacional;11 Extremadura;Electricidad;2013;62319
Total Nacional;11 Extremadura;Electricidad;2011;73355
Total Nacional;11 Extremadura;Electricidad;2009;74155
Total Nacional;11 Extremadura;Gas;2013;47919
Total Nacional;11 Extremadura;Gas;2011;36906
Total Nacional;11 Extremadura;Gas;2009;35402
Total Nacional;11 Extremadura;Gasóleo;2013;11326
Total Nacional;11 Extremadura;Gasóleo;2011;18456
Total Nacional;11 Extremadura;Gasóleo;2009;12921
Total Nacional;11 Extremadura;Fueloil;2013;2038
Total Nacional;11 Extremadura;Fueloil;2011;2396
Total Nacional;11 Extremadura;Fueloil;2009;7638
Total Nacional;11 Extremadura;Otros productos petrolíferos;2013;1057
Total Nacional;11 Extremadura;Otros productos petrolíferos;2011;2478
Total Nacional;11 Extremadura;Otros productos petrolíferos;2009;293
Total Nacional;11 Extremadura;Carbón y derivados;2013;
Total Nacional;11 Extremadura;Carbón y derivados;2011;4995
Total Nacional;11 Extremadura;Carbón y derivados;2009;2132
Total Nacional;11 Extremadura;Carbón y coque;2013;2019
Total Nacional;11 Extremadura;Carbón y coque;2011;
Total Nacional;11 Extremadura;Carbón y coque;2009;
Total Nacional;11 Extremadura;Biocombustibles;2013;241
Total Nacional;11 Extremadura;Biocombustibles;2011;
Total Nacional;11 Extremadura;Biocombustibles;2009;
Total Nacional;11 Extremadura;Calor y otros consumos energéticos;2013;3346
Total Nacional;11 Extremadura;Calor y otros consumos energéticos;2011;
Total Nacional;11 Extremadura;Calor y otros consumos energéticos;2009;
Total Nacional;11 Extremadura;Otros consumos energéticos;2013;
Total Nacional;11 Extremadura;Otros consumos energéticos;2011;1493
Total Nacional;11 Extremadura;Otros consumos energéticos;2009;1066
Total Nacional;11 Extremadura;Total consumos energéticos;2013;130266
Total Nacional;11 Extremadura;Total consumos energéticos;2011;140078
Total Nacional;11 Extremadura;Total consumos energéticos;2009;136244
Total Nacional;12 Galicia;Electricidad;2013;510799
Total Nacional;12 Galicia;Electricidad;2011;564418
Total Nacional;12 Galicia;Electricidad;2009;497604
Total Nacional;12 Galicia;Gas;2013;151418
Total Nacional;12 Galicia;Gas;2011;100989
Total Nacional;12 Galicia;Gas;2009;73323
Total Nacional;12 Galicia;Gasóleo;2013;74883
