Variables;n_componentes;rho;phi_1;sigma2;MAPE;RMSE_rel
Total_arima, ConsumoEuros_arima, NumeroCreadas_arima, ActivosMujeres_arima, PobTotal_arima, ActivoHombres_arima, NumeroSociedades_arima, Electricidad_arima, Gas_arima, EurosDesembolsado_arima;3;-0,999000000000000;0,999000000000000;0,570272493356830;0,179517921251631;0,237139054768852
Intercept Total_arima, Intercept ConsumoEuros_arima, Intercept NumeroCreadas_arima, Intercept ActivosMujeres_arima, Intercept PobTotal_arima, Intercept ActivoHombres_arima, Intercept NumeroSociedades_arima, Intercept Electricidad_arima, Intercept Gas_arima, Intercept EurosDesembolsado_arima;3;-0,999000000000000;0,999000000000000;0,570272493356830;0,179517921251631;0,237139054768852
Total_arima, ConsumoEuros_arima, NumeroCreadas_arima, ActivosMujeres_arima, PobTotal_arima, ActivoHombres_arima, NumeroSociedades_arima, EurosDesembolsado_arima;3;-0,999000000000000;0,999000000000000;0,567773154042776;0,179062004951862;0,237251215759209
Intercept Total_arima, Intercept ConsumoEuros_arima, Intercept NumeroCreadas_arima, Intercept ActivosMujeres_arima, Intercept PobTotal_arima, Intercept ActivoHombres_arima, Intercept NumeroSociedades_arima, Intercept EurosDesembolsado_arima;3;-0,999000000000000;0,999000000000000;0,567773154042776;0,179062004951862;0,237251215759209
Total_arima, ConsumoEuros_arima, ActivosMujeres_arima, NumeroSociedades_arima, Electricidad_arima, EurosDesembolsado_arima;3;-0,999000000000000;0,999000000000000;0,712517830348733;0,166554389004219;0,237498525969091
Intercept Total_arima, Intercept ConsumoEuros_arima, Intercept ActivosMujeres_arima, Intercept NumeroSociedades_arima, Intercept Electricidad_arima, Intercept EurosDesembolsado_arima;3;-0,999000000000000;0,999000000000000;0,712517830348733;0,166554389004219;0,237498525969091
Total_arima, ConsumoEuros_arima, ActivosMujeres_arima, NumeroSociedades_arima, Electricidad_arima, Gas_arima, Capital_arima, EurosDesembolsado_arima;3;-0,999000000000000;0,999000000000000;0,722207637599032;0,152983320452846;0,237586755750270
Intercept Total_arima, Intercept ConsumoEuros_arima, Intercept ActivosMujeres_arima, Intercept NumeroSociedades_arima, Intercept Electricidad_arima, Intercept Gas_arima, Intercept Capital_arima, Intercept EurosDesembolsado_arima;3;-0,999000000000000;0,999000000000000;0,722207637599032;0,152983320452846;0,237586755750270
Total_arima, ConsumoEuros_arima, NumeroCreadas_arima, Carbón y derivados_arima, Gas_arima, Capital_arima;3;-0,998978459011962;0,998669641941769;0,857395734189666;0,319275393651856;0,238001717742274
Intercept Total_arima, Intercept ConsumoEuros_arima, Intercept NumeroCreadas_arima, Intercept Carbón y derivados_arima, Intercept Gas_arima, Intercept Capital_arima;3;-0,998978459011962;0,998669641941769;0,857395734189666;0,319275393651856;0,238001717742274
Total_arima, ConsumoEuros_arima, ActivosMujeres_arima, NumeroSociedades_arima, Electricidad_arima, Capital_arima, EurosDesembolsado_arima;3;-0,999000000000000;0,999000000000000;0,720680446524334;0,153974968890648;0,238022387919659
Intercept Total_arima, Intercept ConsumoEuros_arima, Intercept ActivosMujeres_arima, Intercept NumeroSociedades_arima, Intercept Electricidad_arima, Intercept Capital_arima, Intercept EurosDesembolsado_arima;3;-0,999000000000000;0,999000000000000;0,720680446524334;0,153974968890648;0,238022387919659
Total_arima, ConsumoEuros_arima, ActivosMujeres_arima, PobTotal_arima, ActivoHombres_arima, NumeroSociedades_arima, Electricidad_arima, Carbón y derivados_arima, Capital_arima;3;-0,999000000000000;0,998697208062694;0,701935848764392;0,185921581625846;0,238135281560134
Intercept Total_arima, Intercept ConsumoEuros_arima, Intercept ActivosMujeres_arima, Intercept PobTotal_arima, Intercept ActivoHombres_arima, Intercept NumeroSociedades_arima, Intercept Electricidad_arima, Intercept Carbón y derivados_arima, Intercept Capital_arima;3;-0,999000000000000;0,998697208062694;0,701935848764392;0,185921581625846;0,238135281560134
Total_arima, ConsumoEuros_arima, NumeroCreadas_arima, NumeroSociedades_arima, Electricidad_arima, Gas_arima, Capital_arima;3;-0,999000000000000;0,998875252655360;0,761488073506529;0,261306968667916;0,238204519561733
Intercept Total_arima, Intercept ConsumoEuros_arima, Intercept NumeroCreadas_arima, Intercept NumeroSociedades_arima, Intercept Electricidad_arima, Intercept Gas_arima, Intercept Capital_arima;3;-0,999000000000000;0,998875252655360;0,761488073506529;0,261306968667916;0,238204519561733
Total_arima, ConsumoEuros_arima, NumeroCreadas_arima, PobTotal_arima, ActivoHombres_arima, Carbón y derivados_arima, Capital_arima, EurosDesembolsado_arima;3;-0,999000000000000;0,999000000000000;0,574362254383395;0,219999751863608;0,238466177155765
Intercept Total_arima, Intercept ConsumoEuros_arima, Intercept NumeroCreadas_arima, Intercept PobTotal_arima, Intercept ActivoHombres_arima, Intercept Carbón y derivados_arima, Intercept Capital_arima, Intercept EurosDesembolsado_arima;3;-0,999000000000000;0,999000000000000;0,574362254383395;0,219999751863608;0,238466177155765
