Clase de disolución;Comunidades y Ciudades Autónomas;Periodo;Total
Total;02 Aragón;2022M07;37
Total;02 Aragón;2022M06;51
Total;02 Aragón;2022M05;42
Total;02 Aragón;2022M04;35
Total;02 Aragón;2022M03;62
Total;02 Aragón;2022M02;82
Total;02 Aragón;2022M01;122
Total;02 Aragón;2021M12;124
Total;02 Aragón;2021M11;111
Total;02 Aragón;2021M10;36
Total;02 Aragón;2021M09;42
Total;02 Aragón;2021M08;41
Total;02 Aragón;2021M07;38
Total;02 Aragón;2021M06;42
Total;02 Aragón;2021M05;60
Total;02 Aragón;2021M04;47
Total;02 Aragón;2021M03;65
Total;02 Aragón;2021M02;87
Total;02 Aragón;2021M01;96
Total;02 Aragón;2020M12;123
Total;02 Aragón;2020M11;74
Total;02 Aragón;2020M10;42
Total;02 Aragón;2020M09;51
Total;02 Aragón;2020M08;30
Total;02 Aragón;2020M07;37
Total;02 Aragón;2020M06;43
Total;02 Aragón;2020M05;16
Total;02 Aragón;2020M04;10
Total;02 Aragón;2020M03;41
Total;02 Aragón;2020M02;80
Total;02 Aragón;2020M01;125
Total;02 Aragón;2019M12;200
Total;02 Aragón;2019M11;75
Total;02 Aragón;2019M10;58
Total;02 Aragón;2019M09;39
Total;02 Aragón;2019M08;58
Total;02 Aragón;2019M07;43
Total;02 Aragón;2019M06;35
Total;02 Aragón;2019M05;44
Total;02 Aragón;2019M04;54
Total;02 Aragón;2019M03;54
Total;02 Aragón;2019M02;71
Total;02 Aragón;2019M01;126
Total;02 Aragón;2018M12;150
Total;02 Aragón;2018M11;69
Total;02 Aragón;2018M10;50
Total;02 Aragón;2018M09;25
Total;02 Aragón;2018M08;36
Total;02 Aragón;2018M07;37
Total;02 Aragón;2018M06;41
Total;02 Aragón;2018M05;39
Total;02 Aragón;2018M04;53
Total;02 Aragón;2018M03;43
Total;02 Aragón;2018M02;95
Total;02 Aragón;2018M01;141
Total;02 Aragón;2017M12;104
Total;02 Aragón;2017M11;51
Total;02 Aragón;2017M10;36
Total;02 Aragón;2017M09;28
Total;02 Aragón;2017M08;43
Total;02 Aragón;2017M07;51
Total;02 Aragón;2017M06;43
Total;02 Aragón;2017M05;54
Total;02 Aragón;2017M04;45
Total;02 Aragón;2017M03;64
Total;02 Aragón;2017M02;85
Total;02 Aragón;2017M01;167
Total;02 Aragón;2016M12;96
Total;02 Aragón;2016M11;75
Total;02 Aragón;2016M10;40
Total;02 Aragón;2016M09;51
Total;02 Aragón;2016M08;34
Total;02 Aragón;2016M07;36
Total;02 Aragón;2016M06;43
Total;02 Aragón;2016M05;54
Total;02 Aragón;2016M04;42
Total;02 Aragón;2016M03;64
Total;02 Aragón;2016M02;123
Total;02 Aragón;2016M01;87
Total;02 Aragón;2015M12;116
Total;02 Aragón;2015M11;60
Total;02 Aragón;2015M10;54
Total;02 Aragón;2015M09;45
Total;02 Aragón;2015M08;67
Total;02 Aragón;2015M07;54
Total;02 Aragón;2015M06;50
Total;02 Aragón;2015M05;38
Total;02 Aragón;2015M04;46
Total;02 Aragón;2015M03;66
Total;02 Aragón;2015M02;66
Total;02 Aragón;2015M01;114
Total;02 Aragón;2014M12;73
Total;02 Aragón;2014M11;103
Total;02 Aragón;2014M10;63
Total;02 Aragón;2014M09;46
Total;02 Aragón;2014M08;53
Total;02 Aragón;2014M07;61
Total;02 Aragón;2014M06;61
Total;02 Aragón;2014M05;43
Total;02 Aragón;2014M04;54
Total;02 Aragón;2014M03;75
Total;02 Aragón;2014M02;106
Total;02 Aragón;2014M01;108
Total;02 Aragón;2013M12;126
Total;02 Aragón;2013M11;52
Total;02 Aragón;2013M10;78
Total;02 Aragón;2013M09;54
Total;02 Aragón;2013M08;40
Total;02 Aragón;2013M07;71
Total;02 Aragón;2013M06;68
Total;02 Aragón;2013M05;82
Total;02 Aragón;2013M04;72
Total;02 Aragón;2013M03;78
Total;02 Aragón;2013M02;125
Total;02 Aragón;2013M01;119
Total;02 Aragón;2012M12;118
Total;02 Aragón;2012M11;40
Total;02 Aragón;2012M10;55
Total;02 Aragón;2012M09;46
Total;02 Aragón;2012M08;52
Total;02 Aragón;2012M07;45
Total;02 Aragón;2012M06;67
Total;02 Aragón;2012M05;82
Total;02 Aragón;2012M04;55
Total;02 Aragón;2012M03;83
Total;02 Aragón;2012M02;100
Total;02 Aragón;2012M01;128
Total;02 Aragón;2011M12;127
Total;02 Aragón;2011M11;63
Total;02 Aragón;2011M10;41
Total;02 Aragón;2011M09;40
Total;02 Aragón;2011M08;47
Total;02 Aragón;2011M07;46
Total;02 Aragón;2011M06;39
Total;02 Aragón;2011M05;35
Total;02 Aragón;2011M04;53
Total;02 Aragón;2011M03;63
Total;02 Aragón;2011M02;81
Total;02 Aragón;2011M01;108
Total;02 Aragón;2010M12;82
Total;02 Aragón;2010M11;75
Total;02 Aragón;2010M10;50
Total;02 Aragón;2010M09;35
Total;02 Aragón;2010M08;43
Total;02 Aragón;2010M07;43
Total;02 Aragón;2010M06;40
Total;02 Aragón;2010M05;42
Total;02 Aragón;2010M04;40
Total;02 Aragón;2010M03;63
Total;02 Aragón;2010M02;101
Total;02 Aragón;2010M01;104
Total;02 Aragón;2009M12;91
Total;02 Aragón;2009M11;64
Total;02 Aragón;2009M10;31
Total;02 Aragón;2009M09;61
Total;02 Aragón;2009M08;33
Total;02 Aragón;2009M07;36
Total;02 Aragón;2009M06;40
Total;02 Aragón;2009M05;50
Total;02 Aragón;2009M04;47
Total;02 Aragón;2009M03;56
Total;02 Aragón;2009M02;69
Total;02 Aragón;2009M01;100
Total;02 Aragón;2008M12;103
Total;02 Aragón;2008M11;95
Total;02 Aragón;2008M10;57
Total;02 Aragón;2008M09;38
Total;02 Aragón;2008M08;44
Total;02 Aragón;2008M07;33
Total;02 Aragón;2008M06;31
Total;02 Aragón;2008M05;33
Total;02 Aragón;2008M04;39
Total;02 Aragón;2008M03;51
Total;02 Aragón;2008M02;76
Total;02 Aragón;2008M01;110
Total;02 Aragón;2007M12;""
Total;02 Aragón;2007M11;""
Total;02 Aragón;2007M10;""
Total;02 Aragón;2007M09;""
Total;02 Aragón;2007M08;""
Total;02 Aragón;2007M07;""
Total;02 Aragón;2007M06;""
Total;02 Aragón;2007M05;""
Total;02 Aragón;2007M04;""
Total;02 Aragón;2007M03;""
Total;02 Aragón;2007M02;""
Total;02 Aragón;2007M01;""
Total;02 Aragón;2006M12;""
Total;02 Aragón;2006M11;""
Total;02 Aragón;2006M10;""
Total;02 Aragón;2006M09;""
Total;02 Aragón;2006M08;""
Total;02 Aragón;2006M07;""
Total;02 Aragón;2006M06;""
Total;02 Aragón;2006M05;""
Total;02 Aragón;2006M04;""
Total;02 Aragón;2006M03;""
Total;02 Aragón;2006M02;""
Total;02 Aragón;2006M01;""
Total;02 Aragón;2005M12;""
Total;02 Aragón;2005M11;""
Total;02 Aragón;2005M10;""
Total;02 Aragón;2005M09;""
Total;02 Aragón;2005M08;""
Total;02 Aragón;2005M07;""
Total;02 Aragón;2005M06;""
Total;02 Aragón;2005M05;""
Total;02 Aragón;2005M04;""
Total;02 Aragón;2005M03;""
Total;02 Aragón;2005M02;""
Total;02 Aragón;2005M01;""
Total;02 Aragón;2004M12;""
Total;02 Aragón;2004M11;""
Total;02 Aragón;2004M10;""
Total;02 Aragón;2004M09;""
Total;02 Aragón;2004M08;""
Total;02 Aragón;2004M07;""
Total;02 Aragón;2004M06;""
Total;02 Aragón;2004M05;""
Total;02 Aragón;2004M04;""
Total;02 Aragón;2004M03;""
Total;02 Aragón;2004M02;""
Total;02 Aragón;2004M01;""
Total;02 Aragón;2003M12;""
Total;02 Aragón;2003M11;""
Total;02 Aragón;2003M10;""
Total;02 Aragón;2003M09;""
Total;02 Aragón;2003M08;""
Total;02 Aragón;2003M07;""
Total;02 Aragón;2003M06;""
Total;02 Aragón;2003M05;""
Total;02 Aragón;2003M04;""
Total;02 Aragón;2003M03;""
Total;02 Aragón;2003M02;""
Total;02 Aragón;2003M01;""
Total;02 Aragón;2002M12;""
Total;02 Aragón;2002M11;""
Total;02 Aragón;2002M10;""
Total;02 Aragón;2002M09;""
Total;02 Aragón;2002M08;""
Total;02 Aragón;2002M07;""
Total;02 Aragón;2002M06;""
Total;02 Aragón;2002M05;""
Total;02 Aragón;2002M04;""
Total;02 Aragón;2002M03;""
Total;02 Aragón;2002M02;""
Total;02 Aragón;2002M01;""
Total;02 Aragón;2001M12;""
Total;02 Aragón;2001M11;""
Total;02 Aragón;2001M10;""
Total;02 Aragón;2001M09;""
Total;02 Aragón;2001M08;""
Total;02 Aragón;2001M07;""
Total;02 Aragón;2001M06;""
Total;02 Aragón;2001M05;""
Total;02 Aragón;2001M04;""
Total;02 Aragón;2001M03;""
Total;02 Aragón;2001M02;""
Total;02 Aragón;2001M01;""
Total;02 Aragón;2000M12;""
Total;02 Aragón;2000M11;""
Total;02 Aragón;2000M10;""
Total;02 Aragón;2000M09;""
Total;02 Aragón;2000M08;""
Total;02 Aragón;2000M07;""
Total;02 Aragón;2000M06;""
Total;02 Aragón;2000M05;""
Total;02 Aragón;2000M04;""
Total;02 Aragón;2000M03;""
Total;02 Aragón;2000M02;""
Total;02 Aragón;2000M01;""
Total;02 Aragón;1999M12;""
Total;02 Aragón;1999M11;""
Total;02 Aragón;1999M10;""
Total;02 Aragón;1999M09;""
Total;02 Aragón;1999M08;""
Total;02 Aragón;1999M07;""
Total;02 Aragón;1999M06;""
Total;02 Aragón;1999M05;""
Total;02 Aragón;1999M04;""
Total;02 Aragón;1999M03;""
Total;02 Aragón;1999M02;""
Total;02 Aragón;1999M01;""
Total;02 Aragón;1998M12;""
Total;02 Aragón;1998M11;""
Total;02 Aragón;1998M10;""
Total;02 Aragón;1998M09;""
Total;02 Aragón;1998M08;""
Total;02 Aragón;1998M07;""
Total;02 Aragón;1998M06;""
Total;02 Aragón;1998M05;""
Total;02 Aragón;1998M04;""
Total;02 Aragón;1998M03;""
Total;02 Aragón;1998M02;""
Total;02 Aragón;1998M01;""
Total;02 Aragón;1997M12;""
Total;02 Aragón;1997M11;""
Total;02 Aragón;1997M10;""
Total;02 Aragón;1997M09;""
Total;02 Aragón;1997M08;""
Total;02 Aragón;1997M07;""
Total;02 Aragón;1997M06;""
Total;02 Aragón;1997M05;""
Total;02 Aragón;1997M04;""
Total;02 Aragón;1997M03;""
Total;02 Aragón;1997M02;""
Total;02 Aragón;1997M01;""
Total;02 Aragón;1996M12;""
Total;02 Aragón;1996M11;""
Total;02 Aragón;1996M10;""
Total;02 Aragón;1996M09;""
Total;02 Aragón;1996M08;""
Total;02 Aragón;1996M07;""
Total;02 Aragón;1996M06;""
Total;02 Aragón;1996M05;""
Total;02 Aragón;1996M04;""
Total;02 Aragón;1996M03;""
Total;02 Aragón;1996M02;""
Total;02 Aragón;1996M01;""
Total;02 Aragón;1995M12;""
Total;02 Aragón;1995M11;""
Total;02 Aragón;1995M10;""
Total;02 Aragón;1995M09;""
Total;02 Aragón;1995M08;""
Total;02 Aragón;1995M07;""
Total;02 Aragón;1995M06;""
Total;02 Aragón;1995M05;""
Total;02 Aragón;1995M04;""
Total;02 Aragón;1995M03;""
Total;02 Aragón;1995M02;""
Total;02 Aragón;1995M01;""
Total;03 Asturias, Principado de;2025M05;32
Total;03 Asturias, Principado de;2025M04;31
Total;03 Asturias, Principado de;2025M03;37
Total;03 Asturias, Principado de;2025M02;59
Total;03 Asturias, Principado de;2025M01;77
Total;03 Asturias, Principado de;2024M12;35
Total;03 Asturias, Principado de;2024M11;37
Total;03 Asturias, Principado de;2024M10;35
Total;03 Asturias, Principado de;2024M09;23
Total;03 Asturias, Principado de;2024M08;27
Total;03 Asturias, Principado de;2024M07;32
Total;03 Asturias, Principado de;2024M06;26
Total;03 Asturias, Principado de;2024M05;35
Total;03 Asturias, Principado de;2024M04;29
Total;03 Asturias, Principado de;2024M03;30
Total;03 Asturias, Principado de;2024M02;48
Total;03 Asturias, Principado de;2024M01;74
Total;03 Asturias, Principado de;2023M12;57
Total;03 Asturias, Principado de;2023M11;36
Total;03 Asturias, Principado de;2023M10;36
Total;03 Asturias, Principado de;2023M09;21
Total;03 Asturias, Principado de;2023M08;24
Total;03 Asturias, Principado de;2023M07;24
Total;03 Asturias, Principado de;2023M06;24
Total;03 Asturias, Principado de;2023M05;14
Total;03 Asturias, Principado de;2023M04;21
Total;03 Asturias, Principado de;2023M03;38
Total;03 Asturias, Principado de;2023M02;40
Total;03 Asturias, Principado de;2023M01;84
Total;03 Asturias, Principado de;2022M12;63
Total;03 Asturias, Principado de;2022M11;57
Total;03 Asturias, Principado de;2022M10;36
Total;03 Asturias, Principado de;2022M09;24
Total;03 Asturias, Principado de;2022M08;24
Total;03 Asturias, Principado de;2022M07;33
Total;03 Asturias, Principado de;2022M06;27
Total;03 Asturias, Principado de;2022M05;35
Total;03 Asturias, Principado de;2022M04;27
Total;03 Asturias, Principado de;2022M03;36
Total;03 Asturias, Principado de;2022M02;27
Total;03 Asturias, Principado de;2022M01;73
Total;03 Asturias, Principado de;2021M12;69
Total;03 Asturias, Principado de;2021M11;33
Total;03 Asturias, Principado de;2021M10;39
Total;03 Asturias, Principado de;2021M09;30
Total;03 Asturias, Principado de;2021M08;18
Total;03 Asturias, Principado de;2021M07;20
Total;03 Asturias, Principado de;2021M06;28
Total;03 Asturias, Principado de;2021M05;22
Total;03 Asturias, Principado de;2021M04;29
Total;03 Asturias, Principado de;2021M03;23
Total;03 Asturias, Principado de;2021M02;52
Total;03 Asturias, Principado de;2021M01;85
Total;03 Asturias, Principado de;2020M12;41
Total;03 Asturias, Principado de;2020M11;22
Total;03 Asturias, Principado de;2020M10;19
Total;03 Asturias, Principado de;2020M09;21
Total;03 Asturias, Principado de;2020M08;18
Total;03 Asturias, Principado de;2020M07;17
Total;03 Asturias, Principado de;2020M06;18
Total;03 Asturias, Principado de;2020M05;3
Total;03 Asturias, Principado de;2020M04;5
Total;03 Asturias, Principado de;2020M03;25
Total;03 Asturias, Principado de;2020M02;30
Total;03 Asturias, Principado de;2020M01;76
Total;03 Asturias, Principado de;2019M12;53
Total;03 Asturias, Principado de;2019M11;32
Total;03 Asturias, Principado de;2019M10;28
Total;03 Asturias, Principado de;2019M09;19
Total;03 Asturias, Principado de;2019M08;18
Total;03 Asturias, Principado de;2019M07;27
Total;03 Asturias, Principado de;2019M06;19
Total;03 Asturias, Principado de;2019M05;22
Total;03 Asturias, Principado de;2019M04;27
Total;03 Asturias, Principado de;2019M03;34
Total;03 Asturias, Principado de;2019M02;46
Total;03 Asturias, Principado de;2019M01;68
Total;03 Asturias, Principado de;2018M12;49
Total;03 Asturias, Principado de;2018M11;55
Total;03 Asturias, Principado de;2018M10;45
Total;03 Asturias, Principado de;2018M09;24
Total;03 Asturias, Principado de;2018M08;19
Total;03 Asturias, Principado de;2018M07;25
Total;03 Asturias, Principado de;2018M06;24
Total;03 Asturias, Principado de;2018M05;29
Total;03 Asturias, Principado de;2018M04;35
Total;03 Asturias, Principado de;2018M03;41
Total;03 Asturias, Principado de;2018M02;52
Total;03 Asturias, Principado de;2018M01;76
Total;03 Asturias, Principado de;2017M12;42
Total;03 Asturias, Principado de;2017M11;33
Total;03 Asturias, Principado de;2017M10;33
Total;03 Asturias, Principado de;2017M09;18
Total;03 Asturias, Principado de;2017M08;14
Total;03 Asturias, Principado de;2017M07;23
Total;03 Asturias, Principado de;2017M06;28
Total;03 Asturias, Principado de;2017M05;40
Total;03 Asturias, Principado de;2017M04;22
Total;03 Asturias, Principado de;2017M03;51
Total;03 Asturias, Principado de;2017M02;53
Total;03 Asturias, Principado de;2017M01;71
Total;03 Asturias, Principado de;2016M12;67
Total;03 Asturias, Principado de;2016M11;53
Total;03 Asturias, Principado de;2016M10;34
Total;03 Asturias, Principado de;2016M09;17
Total;03 Asturias, Principado de;2016M08;16
Total;03 Asturias, Principado de;2016M07;17
Total;03 Asturias, Principado de;2016M06;30
Total;03 Asturias, Principado de;2016M05;31
Total;03 Asturias, Principado de;2016M04;40
Total;03 Asturias, Principado de;2016M03;35
Total;03 Asturias, Principado de;2016M02;39
Total;03 Asturias, Principado de;2016M01;76
Total;03 Asturias, Principado de;2015M12;61
Total;03 Asturias, Principado de;2015M11;31
Total;03 Asturias, Principado de;2015M10;20
Total;03 Asturias, Principado de;2015M09;15
Total;03 Asturias, Principado de;2015M08;25
Total;03 Asturias, Principado de;2015M07;21
Total;03 Asturias, Principado de;2015M06;30
Total;03 Asturias, Principado de;2015M05;29
Total;03 Asturias, Principado de;2015M04;37
Total;03 Asturias, Principado de;2015M03;47
Total;03 Asturias, Principado de;2015M02;44
Total;03 Asturias, Principado de;2015M01;63
Total;03 Asturias, Principado de;2014M12;55
Total;03 Asturias, Principado de;2014M11;43
Total;03 Asturias, Principado de;2014M10;42
Total;03 Asturias, Principado de;2014M09;16
Total;03 Asturias, Principado de;2014M08;26
Total;03 Asturias, Principado de;2014M07;30
Total;03 Asturias, Principado de;2014M06;20
Total;03 Asturias, Principado de;2014M05;35
Total;03 Asturias, Principado de;2014M04;42
Total;03 Asturias, Principado de;2014M03;49
Total;03 Asturias, Principado de;2014M02;41
Total;03 Asturias, Principado de;2014M01;68
Total;03 Asturias, Principado de;2013M12;61
Total;03 Asturias, Principado de;2013M11;40
Total;03 Asturias, Principado de;2013M10;78
Total;03 Asturias, Principado de;2013M09;25
Total;03 Asturias, Principado de;2013M08;26
Total;03 Asturias, Principado de;2013M07;28
Total;03 Asturias, Principado de;2013M06;26
Total;03 Asturias, Principado de;2013M05;46
Total;03 Asturias, Principado de;2013M04;42
Total;03 Asturias, Principado de;2013M03;41
Total;03 Asturias, Principado de;2013M02;54
Total;03 Asturias, Principado de;2013M01;67
Total;03 Asturias, Principado de;2012M12;58
Total;03 Asturias, Principado de;2012M11;35
Total;03 Asturias, Principado de;2012M10;48
Total;03 Asturias, Principado de;2012M09;30
Total;03 Asturias, Principado de;2012M08;25
Total;03 Asturias, Principado de;2012M07;31
Total;03 Asturias, Principado de;2012M06;31
Total;03 Asturias, Principado de;2012M05;27
Total;03 Asturias, Principado de;2012M04;31
Total;03 Asturias, Principado de;2012M03;38
Total;03 Asturias, Principado de;2012M02;36
Total;03 Asturias, Principado de;2012M01;72
Total;03 Asturias, Principado de;2011M12;34
Total;03 Asturias, Principado de;2011M11;36
Total;03 Asturias, Principado de;2011M10;26
Total;03 Asturias, Principado de;2011M09;18
Total;03 Asturias, Principado de;2011M08;23
Total;03 Asturias, Principado de;2011M07;18
Total;03 Asturias, Principado de;2011M06;19
Total;03 Asturias, Principado de;2011M05;35
Total;03 Asturias, Principado de;2011M04;11
Total;03 Asturias, Principado de;2011M03;40
Total;03 Asturias, Principado de;2011M02;35
Total;03 Asturias, Principado de;2011M01;66
Total;03 Asturias, Principado de;2010M12;46
Total;03 Asturias, Principado de;2010M11;26
Total;03 Asturias, Principado de;2010M10;31
Total;03 Asturias, Principado de;2010M09;20
Total;03 Asturias, Principado de;2010M08;17
Total;03 Asturias, Principado de;2010M07;18
Total;03 Asturias, Principado de;2010M06;28
Total;03 Asturias, Principado de;2010M05;21
Total;03 Asturias, Principado de;2010M04;30
Total;03 Asturias, Principado de;2010M03;34
Total;03 Asturias, Principado de;2010M02;42
Total;03 Asturias, Principado de;2010M01;53
Total;03 Asturias, Principado de;2009M12;48
Total;03 Asturias, Principado de;2009M11;23
Total;03 Asturias, Principado de;2009M10;29
Total;03 Asturias, Principado de;2009M09;19
Total;03 Asturias, Principado de;2009M08;20
Total;03 Asturias, Principado de;2009M07;38
Total;03 Asturias, Principado de;2009M06;26
Total;03 Asturias, Principado de;2009M05;15
Total;03 Asturias, Principado de;2009M04;19
Total;03 Asturias, Principado de;2009M03;35
Total;03 Asturias, Principado de;2009M02;49
Total;03 Asturias, Principado de;2009M01;45
Total;03 Asturias, Principado de;2008M12;29
Total;03 Asturias, Principado de;2008M11;47
Total;03 Asturias, Principado de;2008M10;36
Total;03 Asturias, Principado de;2008M09;23
Total;03 Asturias, Principado de;2008M08;12
Total;03 Asturias, Principado de;2008M07;9
Total;03 Asturias, Principado de;2008M06;9
Total;03 Asturias, Principado de;2008M05;25
Total;03 Asturias, Principado de;2008M04;30
Total;03 Asturias, Principado de;2008M03;25
Total;03 Asturias, Principado de;2008M02;46
Total;03 Asturias, Principado de;2008M01;93
Total;03 Asturias, Principado de;2007M12;""
Total;03 Asturias, Principado de;2007M11;""
Total;03 Asturias, Principado de;2007M10;""
Total;03 Asturias, Principado de;2007M09;""
Total;03 Asturias, Principado de;2007M08;""
Total;03 Asturias, Principado de;2007M07;""
Total;03 Asturias, Principado de;2007M06;""
Total;03 Asturias, Principado de;2007M05;""
Total;03 Asturias, Principado de;2007M04;""
Total;03 Asturias, Principado de;2007M03;""
Total;03 Asturias, Principado de;2007M02;""
Total;03 Asturias, Principado de;2007M01;""
Total;03 Asturias, Principado de;2006M12;""
Total;03 Asturias, Principado de;2006M11;""
Total;03 Asturias, Principado de;2006M10;""
Total;03 Asturias, Principado de;2006M09;""
Total;03 Asturias, Principado de;2006M08;""
Total;03 Asturias, Principado de;2006M07;""
Total;03 Asturias, Principado de;2006M06;""
Total;03 Asturias, Principado de;2006M05;""
Total;03 Asturias, Principado de;2006M04;""
Total;03 Asturias, Principado de;2006M03;""
Total;03 Asturias, Principado de;2006M02;""
Total;03 Asturias, Principado de;2006M01;""
Total;03 Asturias, Principado de;2005M12;""
Total;03 Asturias, Principado de;2005M11;""
Total;03 Asturias, Principado de;2005M10;""
Total;03 Asturias, Principado de;2005M09;""
Total;03 Asturias, Principado de;2005M08;""
Total;03 Asturias, Principado de;2005M07;""
Total;03 Asturias, Principado de;2005M06;""
Total;03 Asturias, Principado de;2005M05;""
Total;03 Asturias, Principado de;2005M04;""
