MEDIDAS#ca,MEDIDAS#es,MEDIDAS_CODE,TIME_PERIOD#ca,TIME_PERIOD#es,TIME_PERIOD_CODE,LUGAR_RESIDENCIA#ca,LUGAR_RESIDENCIA#es,LUGAR_RESIDENCIA_CODE,PAQUETE_TURISTICO#ca,PAQUETE_TURISTICO#es,PAQUETE_TURISTICO_CODE,OBS_VALUE,NOTAS_OBSERVACION#ca,NOTAS_OBSERVACION#es,ESTADO_OBSERVACION#ca,ESTADO_OBSERVACION#es,ESTADO_OBSERVACION_CODE,CONFIDENCIALIDAD_OBSERVACION#ca,CONFIDENCIALIDAD_OBSERVACION#es
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,França,Francia,FR,Total,Total,_T,-42.76,,,Valor provisional,Valor provisional,P,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,França,Francia,FR,No,No,NO,-43.39,,,Valor provisional,Valor provisional,P,,
Turistes,Turistas,TURISTAS,01/2025,01/2025,2025-M01,Regne Unit,Reino Unido,GB,Sí,Sí,SI,,,,Baixa fiabilitat,Baja fiabilidad,U,,
Turistes,Turistas,TURISTAS,01/2025,01/2025,2025-M01,Regne Unit,Reino Unido,GB,Total,Total,_T,10895,,,Valor provisional,Valor provisional,P,,
Turistes,Turistas,TURISTAS,01/2025,01/2025,2025-M01,Regne Unit,Reino Unido,GB,No,No,NO,10651,,,Valor provisional,Valor provisional,P,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Regne Unit,Reino Unido,GB,Sí,Sí,SI,,,,Valor no disponible,Valor no disponible,O,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Regne Unit,Reino Unido,GB,Total,Total,_T,-22.45,,,Valor provisional,Valor provisional,P,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Regne Unit,Reino Unido,GB,No,No,NO,-19.87,,,Valor provisional,Valor provisional,P,,
Turistes,Turistas,TURISTAS,01/2025,01/2025,2025-M01,Itàlia,Italia,IT,Sí,Sí,SI,500,,,Valor provisional,Valor provisional,P,,
Turistes,Turistas,TURISTAS,01/2025,01/2025,2025-M01,Itàlia,Italia,IT,Total,Total,_T,5007,,,Valor provisional,Valor provisional,P,,
Turistes,Turistas,TURISTAS,01/2025,01/2025,2025-M01,Itàlia,Italia,IT,No,No,NO,4507,,,Valor provisional,Valor provisional,P,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Itàlia,Italia,IT,Sí,Sí,SI,,,,Valor no disponible,Valor no disponible,O,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Itàlia,Italia,IT,Total,Total,_T,115.25,,,Valor provisional,Valor provisional,P,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Itàlia,Italia,IT,No,No,NO,98.51,,,Valor provisional,Valor provisional,P,,
Turistes,Turistas,TURISTAS,2024,2024,2024,Món (exclosa Illes Balears),Mundo (excluida Illes Balears),5000_XIB,Sí,Sí,SI,6370379,,,Valor provisional,Valor provisional,P,,
Turistes,Turistas,TURISTAS,2024,2024,2024,Món (exclosa Illes Balears),Mundo (excluida Illes Balears),5000_XIB,Total,Total,_T,18735675,,,Valor provisional,Valor provisional,P,,
Turistes,Turistas,TURISTAS,2024,2024,2024,Món (exclosa Illes Balears),Mundo (excluida Illes Balears),5000_XIB,No,No,NO,12365295,,,Valor provisional,Valor provisional,P,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,2024,2024,2024,Món (exclosa Illes Balears),Mundo (excluida Illes Balears),5000_XIB,Sí,Sí,SI,4.85,,,Valor provisional,Valor provisional,P,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,2024,2024,2024,Món (exclosa Illes Balears),Mundo (excluida Illes Balears),5000_XIB,Total,Total,_T,4.93,,,Valor provisional,Valor provisional,P,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,2024,2024,2024,Món (exclosa Illes Balears),Mundo (excluida Illes Balears),5000_XIB,No,No,NO,4.98,,,Valor provisional,Valor provisional,P,,
Turistes,Turistas,TURISTAS,2024,2024,2024,Món (exclosa Espanya),Mundo (excluida España),5000_XES,Sí,Sí,SI,6079047,,,Valor provisional,Valor provisional,P,,
Turistes,Turistas,TURISTAS,2024,2024,2024,Món (exclosa Espanya),Mundo (excluida España),5000_XES,Total,Total,_T,15311569,,,Valor provisional,Valor provisional,P,,
Turistes,Turistas,TURISTAS,2024,2024,2024,Món (exclosa Espanya),Mundo (excluida España),5000_XES,No,No,NO,9232522,,,Valor provisional,Valor provisional,P,,
