MEDIDAS#ca,MEDIDAS#es,MEDIDAS_CODE,TIME_PERIOD#ca,TIME_PERIOD#es,TIME_PERIOD_CODE,LUGAR_RESIDENCIA#ca,LUGAR_RESIDENCIA#es,LUGAR_RESIDENCIA_CODE,OBS_VALUE,ESTADO_OBSERVACION#ca,ESTADO_OBSERVACION#es,ESTADO_OBSERVACION_CODE,CONFIDENCIALIDAD_OBSERVACION#ca,CONFIDENCIALIDAD_OBSERVACION#es,NOTAS_OBSERVACION#ca,NOTAS_OBSERVACION#es
Turistes,Turistas,TURISTAS,11/2024,11/2024,2024-M11,Països Nòrdics,Países Nórdicos,5100_L1,11940,Valor provisional,Valor provisional,P,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,11/2024,11/2024,2024-M11,Països Nòrdics,Países Nórdicos,5100_L1,35.63,Valor provisional,Valor provisional,P,,,,
Turistes,Turistas,TURISTAS,11/2024,11/2024,2024-M11,Altres països o territoris d'Europa (exclosa Espanya),Otros países o territorios de Europa (excluida España),5100_XES_O,20849,Valor provisional,Valor provisional,P,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,11/2024,11/2024,2024-M11,Altres països o territoris d'Europa (exclosa Espanya),Otros países o territorios de Europa (excluida España),5100_XES_O,172.00,Valor provisional,Valor provisional,P,,,,
Turistes,Turistas,TURISTAS,11/2024,11/2024,2024-M11,Altres països o territoris del Món (exclosa Espanya),Otros países o territorios del Mundo (excluida España),5000_XES_O,17368,Valor provisional,Valor provisional,P,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,11/2024,11/2024,2024-M11,Altres països o territoris del Món (exclosa Espanya),Otros países o territorios del Mundo (excluida España),5000_XES_O,-8.40,Valor provisional,Valor provisional,P,,,,
Turistes,Turistas,TURISTAS,11/2024,11/2024,2024-M11,Bèlgica,Bélgica,BE,2901,Valor provisional,Valor provisional,P,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,11/2024,11/2024,2024-M11,Bèlgica,Bélgica,BE,-35.66,Valor provisional,Valor provisional,P,,,,
Turistes,Turistas,TURISTAS,11/2024,11/2024,2024-M11,Països Baixos,Países Bajos,NL,9318,Valor provisional,Valor provisional,P,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,11/2024,11/2024,2024-M11,Països Baixos,Países Bajos,NL,94.52,Valor provisional,Valor provisional,P,,,,
Turistes,Turistas,TURISTAS,11/2024,11/2024,2024-M11,Suïssa,Suiza,CH,6699,Valor provisional,Valor provisional,P,,,,
Turistes. Taxa de variació anual,Turistas. Tasa de variación anual,TURISTAS_TVA,11/2024,11/2024,2024-M11,Suïssa,Suiza,CH,-28.59,Valor provisional,Valor provisional,P,,,,
Turistes,Turistas,TURISTAS,11/2024,11/2024,2024-M11,França,Francia,FR,6490,Valor provisional,Valor provisional,P,,,,
