MEDIDAS#es,MEDIDAS#ca,MEDIDAS_CODE,TIME_PERIOD#es,TIME_PERIOD#ca,TIME_PERIOD_CODE,LUGAR_RESIDENCIA#es,LUGAR_RESIDENCIA#ca,LUGAR_RESIDENCIA_CODE,MOTIVO_PRINCIPAL_VIAJE_TURISTICO#es,MOTIVO_PRINCIPAL_VIAJE_TURISTICO#ca,MOTIVO_PRINCIPAL_VIAJE_TURISTICO_CODE,OBS_VALUE,CONFIDENCIALIDAD_OBSERVACION#es,CONFIDENCIALIDAD_OBSERVACION#ca,NOTAS_OBSERVACION#es,NOTAS_OBSERVACION#ca,ESTADO_OBSERVACION#es,ESTADO_OBSERVACION#ca,ESTADO_OBSERVACION_CODE
Turistas,Turistes,TURISTAS,01/2025,01/2025,2025-M01,Alemania,Alemanya,DE,"Vacaciones, recreo y ocio","Vacances, esbarjo i oci",VACACIONES,60521,,,,,Valor provisional,Valor provisional,P
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Alemania,Alemanya,DE,Total,Total,_T,5.66,,,,,Valor provisional,Valor provisional,P
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Alemania,Alemanya,DE,"Todos los motivos personales, excepto vacaciones, recreo y ocio","Tots els motius personals, excepte vacances, esbarjo i oci",PERSONAL_S3,-45.10,,,,,Valor provisional,Valor provisional,P
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Alemania,Alemanya,DE,Negocios y motivos profesionales,Negocis i motius professionals,PROFESIONAL,9.91,,,,,Valor provisional,Valor provisional,P
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,Alemania,Alemanya,DE,"Vacaciones, recreo y ocio","Vacances, esbarjo i oci",VACACIONES,20.23,,,,,Valor provisional,Valor provisional,P
Turistas,Turistes,TURISTAS,01/2025,01/2025,2025-M01,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,Total,Total,_T,129024,,,,,Valor provisional,Valor provisional,P
Turistas,Turistes,TURISTAS,01/2025,01/2025,2025-M01,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,"Todos los motivos personales, excepto vacaciones, recreo y ocio","Tots els motius personals, excepte vacances, esbarjo i oci",PERSONAL_S3,57285,,,,,Valor provisional,Valor provisional,P
Turistas,Turistes,TURISTAS,01/2025,01/2025,2025-M01,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,Negocios y motivos profesionales,Negocis i motius professionals,PROFESIONAL,10763,,,,,Valor provisional,Valor provisional,P
Turistas,Turistes,TURISTAS,01/2025,01/2025,2025-M01,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,"Vacaciones, recreo y ocio","Vacances, esbarjo i oci",VACACIONES,60976,,,,,Valor provisional,Valor provisional,P
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,Total,Total,_T,5.13,,,,,Valor provisional,Valor provisional,P
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,"Todos los motivos personales, excepto vacaciones, recreo y ocio","Tots els motius personals, excepte vacances, esbarjo i oci",PERSONAL_S3,-12.79,,,,,Valor provisional,Valor provisional,P
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,Negocios y motivos profesionales,Negocis i motius professionals,PROFESIONAL,-30.45,,,,,Valor provisional,Valor provisional,P
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,01/2025,01/2025,2025-M01,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,"Vacaciones, recreo y ocio","Vacances, esbarjo i oci",VACACIONES,46.69,,,,,Valor provisional,Valor provisional,P
Turistas,Turistes,TURISTAS,01/2025,01/2025,2025-M01,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,Total,Total,_T,64465,,,,,Valor provisional,Valor provisional,P
Turistas,Turistes,TURISTAS,01/2025,01/2025,2025-M01,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,"Todos los motivos personales, excepto vacaciones, recreo y ocio","Tots els motius personals, excepte vacances, esbarjo i oci",PERSONAL_S3,14342,,,,,Valor provisional,Valor provisional,P
Turistas,Turistes,TURISTAS,01/2025,01/2025,2025-M01,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,Negocios y motivos profesionales,Negocis i motius professionals,PROFESIONAL,2035,,,,,Valor provisional,Valor provisional,P
Turistas,Turistes,TURISTAS,01/2025,01/2025,2025-M01,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,"Vacaciones, recreo y ocio","Vacances, esbarjo i oci",VACACIONES,48087,,,,,Valor provisional,Valor provisional,P
