MEDIDAS#es,MEDIDAS#ca,MEDIDAS_CODE,TIME_PERIOD#es,TIME_PERIOD#ca,TIME_PERIOD_CODE,LUGAR_RESIDENCIA#es,LUGAR_RESIDENCIA#ca,LUGAR_RESIDENCIA_CODE,MOTIVO_PRINCIPAL_VIAJE_TURISTICO#es,MOTIVO_PRINCIPAL_VIAJE_TURISTICO#ca,MOTIVO_PRINCIPAL_VIAJE_TURISTICO_CODE,OBS_VALUE,CONFIDENCIALIDAD_OBSERVACION#es,CONFIDENCIALIDAD_OBSERVACION#ca,NOTAS_OBSERVACION#es,NOTAS_OBSERVACION#ca,ESTADO_OBSERVACION#es,ESTADO_OBSERVACION#ca,ESTADO_OBSERVACION_CODE
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,02/2016,02/2016,2016-M02,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,"Vacaciones, recreo y ocio","Vacances, esbarjo i oci",VACACIONES,58.28,,,,,Valor normal,Valor normal,A
Turistas,Turistes,TURISTAS,02/2016,02/2016,2016-M02,Reino Unido,Regne Unit,GB,Total,Total,_T,20476,,,,,Valor normal,Valor normal,A
Turistas,Turistes,TURISTAS,02/2016,02/2016,2016-M02,Reino Unido,Regne Unit,GB,"Todos los motivos personales, excepto vacaciones, recreo y ocio","Tots els motius personals, excepte vacances, esbarjo i oci",PERSONAL_S3,3079,,,,,Valor normal,Valor normal,A
Turistas,Turistes,TURISTAS,02/2016,02/2016,2016-M02,Reino Unido,Regne Unit,GB,Negocios y motivos profesionales,Negocis i motius professionals,PROFESIONAL,1431,,,,,Valor normal,Valor normal,A
Turistas,Turistes,TURISTAS,02/2016,02/2016,2016-M02,Reino Unido,Regne Unit,GB,"Vacaciones, recreo y ocio","Vacances, esbarjo i oci",VACACIONES,15966,,,,,Valor normal,Valor normal,A
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,02/2016,02/2016,2016-M02,Reino Unido,Regne Unit,GB,Total,Total,_T,7.18,,,,,Valor normal,Valor normal,A
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,02/2016,02/2016,2016-M02,Reino Unido,Regne Unit,GB,"Todos los motivos personales, excepto vacaciones, recreo y ocio","Tots els motius personals, excepte vacances, esbarjo i oci",PERSONAL_S3,194.79,,,,,Valor normal,Valor normal,A
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,02/2016,02/2016,2016-M02,Reino Unido,Regne Unit,GB,Negocios y motivos profesionales,Negocis i motius professionals,PROFESIONAL,60.64,,,,,Valor normal,Valor normal,A
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,02/2016,02/2016,2016-M02,Reino Unido,Regne Unit,GB,"Vacaciones, recreo y ocio","Vacances, esbarjo i oci",VACACIONES,-7.01,,,,,Valor normal,Valor normal,A
Turistas,Turistes,TURISTAS,01/2016,01/2016,2016-M01,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,Total,Total,_T,193548,,,,,Valor normal,Valor normal,A
Turistas,Turistes,TURISTAS,01/2016,01/2016,2016-M01,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,"Todos los motivos personales, excepto vacaciones, recreo y ocio","Tots els motius personals, excepte vacances, esbarjo i oci",PERSONAL_S3,49981,,,,,Valor normal,Valor normal,A
Turistas,Turistes,TURISTAS,01/2016,01/2016,2016-M01,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,Negocios y motivos profesionales,Negocis i motius professionals,PROFESIONAL,14159,,,,,Valor normal,Valor normal,A
Turistas,Turistes,TURISTAS,01/2016,01/2016,2016-M01,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,"Vacaciones, recreo y ocio","Vacances, esbarjo i oci",VACACIONES,129408,,,,,Valor normal,Valor normal,A
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,01/2016,01/2016,2016-M01,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,Total,Total,_T,-3.95,,,,,Valor normal,Valor normal,A
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,01/2016,01/2016,2016-M01,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,"Todos los motivos personales, excepto vacaciones, recreo y ocio","Tots els motius personals, excepte vacances, esbarjo i oci",PERSONAL_S3,60.16,,,,,Valor normal,Valor normal,A
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,01/2016,01/2016,2016-M01,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,Negocios y motivos profesionales,Negocis i motius professionals,PROFESIONAL,77.27,,,,,Valor normal,Valor normal,A
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,01/2016,01/2016,2016-M01,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,"Vacaciones, recreo y ocio","Vacances, esbarjo i oci",VACACIONES,-20.27,,,,,Valor normal,Valor normal,A
Turistas,Turistes,TURISTAS,01/2016,01/2016,2016-M01,Mundo (excluida España),Món (exclosa Espanya),5000_XES,Total,Total,_T,102379,,,,,Valor normal,Valor normal,A
Turistas,Turistes,TURISTAS,01/2016,01/2016,2016-M01,Mundo (excluida España),Món (exclosa Espanya),5000_XES,"Todos los motivos personales, excepto vacaciones, recreo y ocio","Tots els motius personals, excepte vacances, esbarjo i oci",PERSONAL_S3,14638,,,,,Valor normal,Valor normal,A
Turistas,Turistes,TURISTAS,01/2016,01/2016,2016-M01,Mundo (excluida España),Món (exclosa Espanya),5000_XES,Negocios y motivos profesionales,Negocis i motius professionals,PROFESIONAL,4019,,,,,Valor normal,Valor normal,A
Turistas,Turistes,TURISTAS,01/2016,01/2016,2016-M01,Mundo (excluida España),Món (exclosa Espanya),5000_XES,"Vacaciones, recreo y ocio","Vacances, esbarjo i oci",VACACIONES,83723,,,,,Valor normal,Valor normal,A
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,01/2016,01/2016,2016-M01,Mundo (excluida España),Món (exclosa Espanya),5000_XES,Total,Total,_T,-3.68,,,,,Valor normal,Valor normal,A
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,01/2016,01/2016,2016-M01,Mundo (excluida España),Món (exclosa Espanya),5000_XES,"Todos los motivos personales, excepto vacaciones, recreo y ocio","Tots els motius personals, excepte vacances, esbarjo i oci",PERSONAL_S3,105.51,,,,,Valor normal,Valor normal,A
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,01/2016,01/2016,2016-M01,Mundo (excluida España),Món (exclosa Espanya),5000_XES,Negocios y motivos profesionales,Negocis i motius professionals,PROFESIONAL,70.36,,,,,Valor normal,Valor normal,A
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,01/2016,01/2016,2016-M01,Mundo (excluida España),Món (exclosa Espanya),5000_XES,"Vacaciones, recreo y ocio","Vacances, esbarjo i oci",VACACIONES,-13.52,,,,,Valor normal,Valor normal,A
Turistas,Turistes,TURISTAS,01/2016,01/2016,2016-M01,Alemania,Alemanya,DE,Total,Total,_T,55191,,,,,Valor normal,Valor normal,A
Turistas,Turistes,TURISTAS,01/2016,01/2016,2016-M01,Alemania,Alemanya,DE,"Todos los motivos personales, excepto vacaciones, recreo y ocio","Tots els motius personals, excepte vacances, esbarjo i oci",PERSONAL_S3,3722,,,,,Valor normal,Valor normal,A
Turistas,Turistes,TURISTAS,01/2016,01/2016,2016-M01,Alemania,Alemanya,DE,Negocios y motivos profesionales,Negocis i motius professionals,PROFESIONAL,1775,,,,,Valor normal,Valor normal,A
Turistas,Turistes,TURISTAS,01/2016,01/2016,2016-M01,Alemania,Alemanya,DE,"Vacaciones, recreo y ocio","Vacances, esbarjo i oci",VACACIONES,49694,,,,,Valor normal,Valor normal,A
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,01/2016,01/2016,2016-M01,Alemania,Alemanya,DE,Total,Total,_T,-11.25,,,,,Valor normal,Valor normal,A
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,01/2016,01/2016,2016-M01,Alemania,Alemanya,DE,"Todos los motivos personales, excepto vacaciones, recreo y ocio","Tots els motius personals, excepte vacances, esbarjo i oci",PERSONAL_S3,349.10,,,,,Valor normal,Valor normal,A
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,01/2016,01/2016,2016-M01,Alemania,Alemanya,DE,Negocios y motivos profesionales,Negocis i motius professionals,PROFESIONAL,261.10,,,,,Valor normal,Valor normal,A
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,01/2016,01/2016,2016-M01,Alemania,Alemanya,DE,"Vacaciones, recreo y ocio","Vacances, esbarjo i oci",VACACIONES,-18.35,,,,,Valor normal,Valor normal,A
Turistas,Turistes,TURISTAS,01/2016,01/2016,2016-M01,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,Total,Total,_T,91168,,,,,Valor normal,Valor normal,A
Turistas,Turistes,TURISTAS,01/2016,01/2016,2016-M01,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,"Todos los motivos personales, excepto vacaciones, recreo y ocio","Tots els motius personals, excepte vacances, esbarjo i oci",PERSONAL_S3,35343,,,,,Valor normal,Valor normal,A
Turistas,Turistes,TURISTAS,01/2016,01/2016,2016-M01,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,Negocios y motivos profesionales,Negocis i motius professionals,PROFESIONAL,10140,,,,,Valor normal,Valor normal,A
Turistas,Turistes,TURISTAS,01/2016,01/2016,2016-M01,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,"Vacaciones, recreo y ocio","Vacances, esbarjo i oci",VACACIONES,45686,,,,,Valor normal,Valor normal,A
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,01/2016,01/2016,2016-M01,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,Total,Total,_T,-4.24,,,,,Valor normal,Valor normal,A
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,01/2016,01/2016,2016-M01,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,"Todos los motivos personales, excepto vacaciones, recreo y ocio","Tots els motius personals, excepte vacances, esbarjo i oci",PERSONAL_S3,46.75,,,,,Valor normal,Valor normal,A
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,01/2016,01/2016,2016-M01,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,Negocios y motivos profesionales,Negocis i motius professionals,PROFESIONAL,80.17,,,,,Valor normal,Valor normal,A
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,01/2016,01/2016,2016-M01,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,"Vacaciones, recreo y ocio","Vacances, esbarjo i oci",VACACIONES,-30.25,,,,,Valor normal,Valor normal,A
Turistas,Turistes,TURISTAS,01/2016,01/2016,2016-M01,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,Total,Total,_T,32249,,,,,Valor normal,Valor normal,A
Turistas,Turistes,TURISTAS,01/2016,01/2016,2016-M01,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,"Todos los motivos personales, excepto vacaciones, recreo y ocio","Tots els motius personals, excepte vacances, esbarjo i oci",PERSONAL_S3,8833,,,,,Valor normal,Valor normal,A
Turistas,Turistes,TURISTAS,01/2016,01/2016,2016-M01,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,Negocios y motivos profesionales,Negocis i motius professionals,PROFESIONAL,1373,,,,,Valor normal,Valor normal,A
Turistas,Turistes,TURISTAS,01/2016,01/2016,2016-M01,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,"Vacaciones, recreo y ocio","Vacances, esbarjo i oci",VACACIONES,22043,,,,,Valor normal,Valor normal,A
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,01/2016,01/2016,2016-M01,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,Total,Total,_T,11.35,,,,,Valor normal,Valor normal,A
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,01/2016,01/2016,2016-M01,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,"Todos los motivos personales, excepto vacaciones, recreo y ocio","Tots els motius personals, excepte vacances, esbarjo i oci",PERSONAL_S3,84.39,,,,,Valor normal,Valor normal,A
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,01/2016,01/2016,2016-M01,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,Negocios y motivos profesionales,Negocis i motius professionals,PROFESIONAL,-26.03,,,,,Valor normal,Valor normal,A
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,01/2016,01/2016,2016-M01,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,"Vacaciones, recreo y ocio","Vacances, esbarjo i oci",VACACIONES,-1.21,,,,,Valor normal,Valor normal,A
Turistas,Turistes,TURISTAS,01/2016,01/2016,2016-M01,Reino Unido,Regne Unit,GB,Total,Total,_T,14940,,,,,Valor normal,Valor normal,A
Turistas,Turistes,TURISTAS,01/2016,01/2016,2016-M01,Reino Unido,Regne Unit,GB,"Todos los motivos personales, excepto vacaciones, recreo y ocio","Tots els motius personals, excepte vacances, esbarjo i oci",PERSONAL_S3,2083,,,,,Valor normal,Valor normal,A
Turistas,Turistes,TURISTAS,01/2016,01/2016,2016-M01,Reino Unido,Regne Unit,GB,Negocios y motivos profesionales,Negocis i motius professionals,PROFESIONAL,871,,,,,Valor normal,Valor normal,A
Turistas,Turistes,TURISTAS,01/2016,01/2016,2016-M01,Reino Unido,Regne Unit,GB,"Vacaciones, recreo y ocio","Vacances, esbarjo i oci",VACACIONES,11986,,,,,Valor normal,Valor normal,A
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,01/2016,01/2016,2016-M01,Reino Unido,Regne Unit,GB,Total,Total,_T,-1.37,,,,,Valor normal,Valor normal,A
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,01/2016,01/2016,2016-M01,Reino Unido,Regne Unit,GB,"Todos los motivos personales, excepto vacaciones, recreo y ocio","Tots els motius personals, excepte vacances, esbarjo i oci",PERSONAL_S3,38.54,,,,,Valor normal,Valor normal,A
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,01/2016,01/2016,2016-M01,Reino Unido,Regne Unit,GB,Negocios y motivos profesionales,Negocis i motius professionals,PROFESIONAL,,,,,,Valor no disponible,Valor no disponible,O
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,01/2016,01/2016,2016-M01,Reino Unido,Regne Unit,GB,"Vacaciones, recreo y ocio","Vacances, esbarjo i oci",VACACIONES,-12.08,,,,,Valor normal,Valor normal,A
Turistas,Turistes,TURISTAS,2015,2015,2015,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,Total,Total,_T,,,,,,Valor no disponible,Valor no disponible,O
Turistas,Turistes,TURISTAS,2015,2015,2015,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,"Todos los motivos personales, excepto vacaciones, recreo y ocio","Tots els motius personals, excepte vacances, esbarjo i oci",PERSONAL_S3,,,,,,Valor no disponible,Valor no disponible,O
Turistas,Turistes,TURISTAS,2015,2015,2015,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,Negocios y motivos profesionales,Negocis i motius professionals,PROFESIONAL,,,,,,Valor no disponible,Valor no disponible,O
Turistas,Turistes,TURISTAS,2015,2015,2015,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,"Vacaciones, recreo y ocio","Vacances, esbarjo i oci",VACACIONES,,,,,,Valor no disponible,Valor no disponible,O
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,2015,2015,2015,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,Total,Total,_T,,,,,,Valor no disponible,Valor no disponible,O
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,2015,2015,2015,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,"Todos los motivos personales, excepto vacaciones, recreo y ocio","Tots els motius personals, excepte vacances, esbarjo i oci",PERSONAL_S3,,,,,,Valor no disponible,Valor no disponible,O
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,2015,2015,2015,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,Negocios y motivos profesionales,Negocis i motius professionals,PROFESIONAL,,,,,,Valor no disponible,Valor no disponible,O
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,2015,2015,2015,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,"Vacaciones, recreo y ocio","Vacances, esbarjo i oci",VACACIONES,,,,,,Valor no disponible,Valor no disponible,O
Turistas,Turistes,TURISTAS,2015,2015,2015,Mundo (excluida España),Món (exclosa Espanya),5000_XES,Total,Total,_T,,,,,,Valor no disponible,Valor no disponible,O
Turistas,Turistes,TURISTAS,2015,2015,2015,Mundo (excluida España),Món (exclosa Espanya),5000_XES,"Todos los motivos personales, excepto vacaciones, recreo y ocio","Tots els motius personals, excepte vacances, esbarjo i oci",PERSONAL_S3,,,,,,Valor no disponible,Valor no disponible,O
Turistas,Turistes,TURISTAS,2015,2015,2015,Mundo (excluida España),Món (exclosa Espanya),5000_XES,Negocios y motivos profesionales,Negocis i motius professionals,PROFESIONAL,,,,,,Valor no disponible,Valor no disponible,O
Turistas,Turistes,TURISTAS,2015,2015,2015,Mundo (excluida España),Món (exclosa Espanya),5000_XES,"Vacaciones, recreo y ocio","Vacances, esbarjo i oci",VACACIONES,,,,,,Valor no disponible,Valor no disponible,O
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,2015,2015,2015,Mundo (excluida España),Món (exclosa Espanya),5000_XES,Total,Total,_T,,,,,,Valor no disponible,Valor no disponible,O
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,2015,2015,2015,Mundo (excluida España),Món (exclosa Espanya),5000_XES,"Todos los motivos personales, excepto vacaciones, recreo y ocio","Tots els motius personals, excepte vacances, esbarjo i oci",PERSONAL_S3,,,,,,Valor no disponible,Valor no disponible,O
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,2015,2015,2015,Mundo (excluida España),Món (exclosa Espanya),5000_XES,Negocios y motivos profesionales,Negocis i motius professionals,PROFESIONAL,,,,,,Valor no disponible,Valor no disponible,O
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,2015,2015,2015,Mundo (excluida España),Món (exclosa Espanya),5000_XES,"Vacaciones, recreo y ocio","Vacances, esbarjo i oci",VACACIONES,,,,,,Valor no disponible,Valor no disponible,O
Turistas,Turistes,TURISTAS,2015,2015,2015,Alemania,Alemanya,DE,Total,Total,_T,,,,,,Valor no disponible,Valor no disponible,O
Turistas,Turistes,TURISTAS,2015,2015,2015,Alemania,Alemanya,DE,"Todos los motivos personales, excepto vacaciones, recreo y ocio","Tots els motius personals, excepte vacances, esbarjo i oci",PERSONAL_S3,,,,,,Valor no disponible,Valor no disponible,O
Turistas,Turistes,TURISTAS,2015,2015,2015,Alemania,Alemanya,DE,Negocios y motivos profesionales,Negocis i motius professionals,PROFESIONAL,,,,,,Valor no disponible,Valor no disponible,O
Turistas,Turistes,TURISTAS,2015,2015,2015,Alemania,Alemanya,DE,"Vacaciones, recreo y ocio","Vacances, esbarjo i oci",VACACIONES,,,,,,Valor no disponible,Valor no disponible,O
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,2015,2015,2015,Alemania,Alemanya,DE,Total,Total,_T,,,,,,Valor no disponible,Valor no disponible,O
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,2015,2015,2015,Alemania,Alemanya,DE,"Todos los motivos personales, excepto vacaciones, recreo y ocio","Tots els motius personals, excepte vacances, esbarjo i oci",PERSONAL_S3,,,,,,Valor no disponible,Valor no disponible,O
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,2015,2015,2015,Alemania,Alemanya,DE,Negocios y motivos profesionales,Negocis i motius professionals,PROFESIONAL,,,,,,Valor no disponible,Valor no disponible,O
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,2015,2015,2015,Alemania,Alemanya,DE,"Vacaciones, recreo y ocio","Vacances, esbarjo i oci",VACACIONES,,,,,,Valor no disponible,Valor no disponible,O
Turistas,Turistes,TURISTAS,2015,2015,2015,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,Total,Total,_T,,,,,,Valor no disponible,Valor no disponible,O
Turistas,Turistes,TURISTAS,2015,2015,2015,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,"Todos los motivos personales, excepto vacaciones, recreo y ocio","Tots els motius personals, excepte vacances, esbarjo i oci",PERSONAL_S3,,,,,,Valor no disponible,Valor no disponible,O
Turistas,Turistes,TURISTAS,2015,2015,2015,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,Negocios y motivos profesionales,Negocis i motius professionals,PROFESIONAL,,,,,,Valor no disponible,Valor no disponible,O
Turistas,Turistes,TURISTAS,2015,2015,2015,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,"Vacaciones, recreo y ocio","Vacances, esbarjo i oci",VACACIONES,,,,,,Valor no disponible,Valor no disponible,O
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,2015,2015,2015,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,Total,Total,_T,,,,,,Valor no disponible,Valor no disponible,O
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,2015,2015,2015,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,"Todos los motivos personales, excepto vacaciones, recreo y ocio","Tots els motius personals, excepte vacances, esbarjo i oci",PERSONAL_S3,,,,,,Valor no disponible,Valor no disponible,O
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,2015,2015,2015,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,Negocios y motivos profesionales,Negocis i motius professionals,PROFESIONAL,,,,,,Valor no disponible,Valor no disponible,O
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,2015,2015,2015,España (excluida Illes Balears),Espanya (exclosa Illes Balears),ES_XIB,"Vacaciones, recreo y ocio","Vacances, esbarjo i oci",VACACIONES,,,,,,Valor no disponible,Valor no disponible,O
Turistas,Turistes,TURISTAS,2015,2015,2015,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,Total,Total,_T,,,,,,Valor no disponible,Valor no disponible,O
Turistas,Turistes,TURISTAS,2015,2015,2015,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,"Todos los motivos personales, excepto vacaciones, recreo y ocio","Tots els motius personals, excepte vacances, esbarjo i oci",PERSONAL_S3,,,,,,Valor no disponible,Valor no disponible,O
Turistas,Turistes,TURISTAS,2015,2015,2015,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,Negocios y motivos profesionales,Negocis i motius professionals,PROFESIONAL,,,,,,Valor no disponible,Valor no disponible,O
Turistas,Turistes,TURISTAS,2015,2015,2015,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,"Vacaciones, recreo y ocio","Vacances, esbarjo i oci",VACACIONES,,,,,,Valor no disponible,Valor no disponible,O
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,2015,2015,2015,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,Total,Total,_T,,,,,,Valor no disponible,Valor no disponible,O
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,2015,2015,2015,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,"Todos los motivos personales, excepto vacaciones, recreo y ocio","Tots els motius personals, excepte vacances, esbarjo i oci",PERSONAL_S3,,,,,,Valor no disponible,Valor no disponible,O
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,2015,2015,2015,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,Negocios y motivos profesionales,Negocis i motius professionals,PROFESIONAL,,,,,,Valor no disponible,Valor no disponible,O
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,2015,2015,2015,Otros países o territorios del Mundo (excluida España),Altres països o territoris del Món (exclosa Espanya),5000_XES_O,"Vacaciones, recreo y ocio","Vacances, esbarjo i oci",VACACIONES,,,,,,Valor no disponible,Valor no disponible,O
Turistas,Turistes,TURISTAS,2015,2015,2015,Reino Unido,Regne Unit,GB,Total,Total,_T,,,,,,Valor no disponible,Valor no disponible,O
Turistas,Turistes,TURISTAS,2015,2015,2015,Reino Unido,Regne Unit,GB,"Todos los motivos personales, excepto vacaciones, recreo y ocio","Tots els motius personals, excepte vacances, esbarjo i oci",PERSONAL_S3,,,,,,Valor no disponible,Valor no disponible,O
Turistas,Turistes,TURISTAS,2015,2015,2015,Reino Unido,Regne Unit,GB,Negocios y motivos profesionales,Negocis i motius professionals,PROFESIONAL,,,,,,Valor no disponible,Valor no disponible,O
Turistas,Turistes,TURISTAS,2015,2015,2015,Reino Unido,Regne Unit,GB,"Vacaciones, recreo y ocio","Vacances, esbarjo i oci",VACACIONES,,,,,,Valor no disponible,Valor no disponible,O
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,2015,2015,2015,Reino Unido,Regne Unit,GB,Total,Total,_T,,,,,,Valor no disponible,Valor no disponible,O
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,2015,2015,2015,Reino Unido,Regne Unit,GB,"Todos los motivos personales, excepto vacaciones, recreo y ocio","Tots els motius personals, excepte vacances, esbarjo i oci",PERSONAL_S3,,,,,,Valor no disponible,Valor no disponible,O
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,2015,2015,2015,Reino Unido,Regne Unit,GB,Negocios y motivos profesionales,Negocis i motius professionals,PROFESIONAL,,,,,,Valor no disponible,Valor no disponible,O
Turistas. Tasa de variación anual,Turistes. Taxa de variació anual,TURISTAS_TVA,2015,2015,2015,Reino Unido,Regne Unit,GB,"Vacaciones, recreo y ocio","Vacances, esbarjo i oci",VACACIONES,,,,,,Valor no disponible,Valor no disponible,O
Turistas,Turistes,TURISTAS,12/2015,12/2015,2015-M12,Mundo (excluida Illes Balears),Món (exclosa Illes Balears),5000_XIB,Total,Total,_T,162629,,,,,Valor normal,Valor normal,A
